Designator,Mid X,Mid Y,Rotation,Layer
C3,111.8,-82.2,180,top
C4,123.7,-103.85,0,top
C5,112.1,-98.6,180,top
C6,123.8,-81,0,top
C7,111.98,-88.75,180,top
C8,123.85,-88.75,0,top
C9,112.08,-105.9,180,top
C10,123.8375,-96.25,0,top
C11,121.65,-78,180,top
C12,131.4,-107.25,90,top
C13,121.65,-93.25,180,top
C14,132.4,-93.05,90,top
C15,121.7,-100.65,180,top
C16,112.45,-70.4,180,top
C17,137.6,-91.95,180,top
C18,138.4875,-98.875,180,top
C19,137.6,-83,180,top
C20,137.6,-105.95,180,top
C21,167.05,-91.8,0,top
C22,177.1625,-92.7,-90,top
C23,173,-101,180,top
C24,168.05,-103.46,-90,top
C25,151.65,-78.25,180,top
C26,155.9,-81,90,top
C27,155.3,-68.65,0,top
C28,158.95,-72.25,180,top
C29,152.15,-63.85,0,top
C30,169.5,-59.75,0,top
C31,166.8,-77.75,180,top
C32,166.8,-75.5,180,top
C33,160.25,-83.25,90,top
C34,158,-83.2,90,top
C35,176.95,-59.75,180,top
C36,162.05,-46.5,180,top
C37,162.05,-48.75,180,top
C38,162.05,-51,180,top
C39,151.55,-51.25,0,top
C40,151.55,-49,0,top
C41,151.55,-46.75,0,top
C42,121.55,-85.55,180,top
C43,127.8,-95.85,-90,top
C44,127.8,-82,-90,top
C45,105,-70.6,0,top
C46,127.75,-107.2,180,top
C47,127.4,-92.6,180,top
C48,133.4,-85.35,-90,top
C49,133.4,-100.65,-90,top
D1,110.25,-32.125,-90,top
D2,118.25,-32.125,90,top
D3,106.25,-32.7,90,top
D4,122.25,-32.55,-90,top
D5,103.675,-49.55,180,top
D6,118.675,-49.55,180,top
D7,94.75,-37,-90,top
D8,134,-38,90,top
D11,110.8,-94.2,180,top
F1,112.25,-45.95,90,top
F2,122.25,-45.95,90,top
Q1,117,-101.7,180,top
Q2,117.05,-105.4,180,top
Q3,116.8,-78.6,180,top
Q4,116.85,-82.5,180,top
Q5,116.9,-86.35,180,top
Q6,116.9,-90.15,180,top
Q7,116.9,-94.05,180,top
Q8,117,-98,180,top
R1,112.75,-32.0125,90,top
R2,115.75,-32.0125,-90,top
R3,103.7125,-52.55,180,top
R4,118.7125,-52.55,180,top
R5,108.0875,-82.2,180,top
R6,111.82,-80,0,top
R7,120.9,-103.45,-90,top
R8,123.7,-106.25,0,top
R9,108.295,-98.6,180,top
R10,112.12,-101.1,0,top
R11,120.8,-80.8,-90,top
R12,123.6875,-83.2,0,top
R13,108.5,-88.75,180,top
R14,111.98,-86.6,0,top
R15,120.7,-88.35,-90,top
R16,123.5,-90.95,0,top
R17,108.2875,-105.8,180,top
R18,112.0875,-108.4,0,top
R19,120.9,-96.1625,-90,top
R20,123.9,-98.5,0,top
R21,134.8,-91.6,90,top
R22,137.625,-89.7,0,top
R23,137.625,-94.2,180,top
R24,134.8,-96.8875,90,top
R25,138.4875,-101.4,0,top
R26,137.625,-96.425,180,top
R27,137.6,-80.8,180,top
R28,137.625,-87.475,0,top
R29,137.625,-85.25,180,top
R30,134.8,-105.3125,-90,top
R31,137.625,-108.2,0,top
R32,137.625,-103.7,180,top
R33,168.5,-95.75,180,top
R34,169.4,-98.8875,-90,top
R35,164.8,-110.5475,-90,top
R36,170.8,-91.8,0,top
R37,162.8875,-91.85,0,top
R38,162.8875,-94,0,top
R39,152.3,-80.9625,90,top
R40,155.2125,-78.25,180,top
R41,158.1,-69.3375,-90,top
R42,152.2125,-61.65,0,top
R43,158.9875,-74.25,180,top
R44,166.8,-73.25,180,top
R45,162.0875,-53.25,0,top
R46,175.3375,-41,0,top
R47,170.9125,-41,180,top
R48,154.75,-53.25,0,top
R49,158.25,-53.25,180,top
R50,157.05,-110.46,-90,top
R51,159.55,-110.5475,-90,top
R52,162.05,-110.46,-90,top
R53,127.6875,-109.4,180,top
R54,130.2,-93.1125,90,top
R55,133.4,-81.6,-90,top
R56,135.6,-100.6875,90,top
SW1,160.8,-103.8,90,top
U1,129.4,-87.6,90,top
U4,174.4125,-97.25,0,top
U5,161,-78.5,0,top
U6,157,-48.25,-90,top
U9,129.4,-101.6,90,top
